Mohawk Industries Inc.	    Ticker = 	MHK
Discovery Inc. Class C	    Ticker = 	DISCK
Devon Energy Corporation	    Ticker = 	DVN
Zions Bancorporation N.A.	    Ticker = 	ZION
Kimco Realty Corporation	    Ticker = 	KIM
Juniper Networks Inc.	    Ticker = 	JNPR
F5 Networks Inc.	    Ticker = 	FFIV
Apache Corporation	    Ticker = 	APA
Mylan N.V.	    Ticker = 	MYL
Alaska Air Group Inc.	    Ticker = 	ALK
Kohl's Corporation	    Ticker = 	KSS
Fortune Brands Home & Security Inc.	    Ticker = 	FBHS
TechnipFMC Plc	    Ticker = 	FTI
Interpublic Group of Companies Inc.	    Ticker = 	IPG
HollyFrontier Corporation	    Ticker = 	HFC
DISH Network Corporation Class A	    Ticker = 	DISH
Franklin Resources Inc.	    Ticker = 	BEN
Apartment Investment and Management Company Class A	    Ticker = 	AIV
Campbell Soup Company	    Ticker = 	CPB
Assurant Inc.	    Ticker = 	AIZ
Newell Brands Inc	    Ticker = 	NWL
Cabot Oil & Gas Corporation	    Ticker = 	COG
Viacom Inc. Class B	    Ticker = 	VIAB
DXC Technology Co.	    Ticker = 	DXC
Tapestry Inc.	    Ticker = 	TPR
Pentair plc	    Ticker = 	PNR
Mosaic Company	    Ticker = 	MOS
A. O. Smith Corporation	    Ticker = 	AOS
Xerox Holdings Corporation	    Ticker = 	XRX
FLIR Systems Inc.	    Ticker = 	FLIR
Albemarle Corporation	    Ticker = 	ALB
Leggett & Platt Incorporated	    Ticker = 	LEG
Nielsen Holdings Plc	    Ticker = 	NLSN
PVH Corp.	    Ticker = 	PVH
SL Green Realty Corp.	    Ticker = 	SLG
Invesco Ltd.	    Ticker = 	IVZ
Perrigo Co. Plc	    Ticker = 	PRGO
Robert Half International Inc.	    Ticker = 	RHI
DaVita Inc.	    Ticker = 	DVA
People's United Financial Inc.	    Ticker = 	PBCT
Flowserve Corporation	    Ticker = 	FLS
Quanta Services Inc.	    Ticker = 	PWR
Unum Group	    Ticker = 	UNM
Harley-Davidson Inc.	    Ticker = 	HOG
Sealed Air Corporation	    Ticker = 	SEE
Hanesbrands Inc.	    Ticker = 	HBI
Rollins Inc.	    Ticker = 	ROL
Ralph Lauren Corporation Class A	    Ticker = 	RL
IPG Photonics Corporation	    Ticker = 	IPGP
Fox Corporation Class B	    Ticker = 	FOX
Capri Holdings Limited	    Ticker = 	CPRI
News Corporation Class A	    Ticker = 	NWSA
H&R Block Inc.	    Ticker = 	HRB
Macy's Inc	    Ticker = 	M
Cimarex Energy Co.	    Ticker = 	XEC
Helmerich & Payne Inc.	    Ticker = 	HP
Affiliated Managers Group Inc.	    Ticker = 	AMG
Discovery Inc. Class A	    Ticker = 	DISCA
Alliance Data Systems Corporation	    Ticker = 	ADS
TripAdvisor Inc.	    Ticker = 	TRIP
L Brands Inc.	    Ticker = 	LB
Coty Inc. Class A	    Ticker = 	COTY
Nordstrom Inc.	    Ticker = 	JWN
Gap Inc.	    Ticker = 	GPS
Under Armour Inc. Class A	    Ticker = 	UAA
Under Armour Inc. Class C	    Ticker = 	UA
Macerich Company	    Ticker = 	MAC
News Corporation Class B	    Ticker = 	NWS
